"Build Name","Test Name","OS","Browser","Resolution","Date","Score","Result URL"
"12.0.10","Z_SampleTest","Windows 10","Google Chrome 96","1366x768","2022-03-11T19:53:04.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74597306/b89aefb9"
"12.0.10","Store Credit Module Test 2","Windows 10","Google Chrome 96","1366x768","2022-03-11T18:35:06.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74595339/31bdd433"
"12.0.10","Store Credit Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T18:29:29.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74595194/175d5327"
"12.0.10","Multiple Ship To Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T18:27:12.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74595159/51511606"
"12.0.10","Custom Shipping Methods Orders Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T18:18:29.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594975/0fbaeaf3"
"12.0.10","Custom Shipping Methods Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T18:12:23.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594831/1afc9baa"
"12.0.10","Category Filters Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:59:53.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594539/9b828dfa"
"12.0.10","Categories Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:52:58.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594475/6e968886"
"12.0.10","Categories Display Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:47:54.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594377/e100f626"
"12.0.10","Blog Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:43:19.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74594279/700c611c"
"12.0.10","Wish List Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:10:15.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74593605/66796ef0"
"12.0.10","Waiting List Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:10:04.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74593602/fc7b8586"
"12.0.10","Titles and Content - WishList Pages Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:05:26.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74593515/8fdcb1f4"
"12.0.10","Titles and Content - Rewards Pages Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T17:04:13.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74593471/7bbc7fe9"
"12.0.10","Titles and Content - Main Pages Part 2 Test","Windows 10","Google Chrome 96","1366x768","2022-03-11T16:56:46.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74593285/f60245c1"
